order_id,customer_id,product_id,payment_src,shipping_type,lead_type,order_status,order_date,shipping_date,expected_delivery_date,delivery_date,return_date,refund_date,quantity,unit_price,is_gift,gift_message,has_coupon,coupon_code
ord_000000001,1306,prd_3765,upi,One-Day Delivery,retail,,2024-06-22,2024-06-23,2024-07-01,2024-07-05,,,6,2989.4,0,,0,
ord_000000001,1306,prd_3765,upi,One-Day Delivery,retail,Delivered,2024-06-22,2024-06-23,2024-07-01,2024-07-05,,,6,2989.4,0,,0,
ord_000000002,1168,prd_3314,Credit card,Express,website,Shipped,2024-03-12,2024-03-12,,2024-03-17,,,4,34031.6,0,,1,CUPN2674
ord_000000003,1490,prd_5928,Net banking,,retail,Processing,2024-05-17,,2024-05-18,2024-05-29,,,2,55208.5427,1,Best Wishes!,0,
ord_000000004,1441,prd_3115,Cash!,Express,retail,Processing,2024-03-12,2024-03-19,2024-03-22,2024-03-23,,,10,37024.4,1,Happy Birthday!,0,
ord_000000005,1301,prd_0126,,Express,mobile app,Shipped,2024-02-26,2024-03-02,2024-02-26,2024-03-04,,,2,80506.53,1,Happy Birthday!,0,
ord_000000006,1202,prd_8374,Credit card,Normal,retail,Returned,,2024-02-08,2024-02-13,2024-02-13,,,8,89783.31,1,Best Wishes!,0,
     Ord_000000007        ,1279,prd_4171,Cash!,Normal,mobile app,Cancelled,2024-06-23,2024-06-29,2024-07-02,,,,5,38482.8835,1,Enjoy!,0,
ord_000000008,1356,prd_3798,Net banking,Normal,website,Processing,2024-02-10,2024-02-17,2024-02-10,,,,3,97189.1,0,,1,CUPN9317
ord_000000009,1494,prd_2649, Debit Card ,Normal,mobile app,Returned,2024-05-05,2024-05-05,2024-05-06,,,,5,87873.4,0,,0,
Ord_000000010,1466,prd_4340, Cash ,Express,mobile app,Cancelled,2024-02-02,2024-02-09,2024-02-10,2024-02-07,,,10,52772.102,1,Best Wishes!,0,
ord_000000011,1441,prd_0738, Cash ,Normal,,Cancelled,2024-02-27,2024-02-28,2024-03-03,2024-02-27,,,1,58848,0,,0,
ord_000000012,1089,prd_2472,Net banking,One-Day Delivery,mobile app,Cancelled,2024-03-12,2024-03-19,,2024-03-18,,,3,72338.0231,1,Best Wishes!,1,CUPN7669
ord_000000013,1132,prd_8137,Net banking,FAST Delivery,website,Processing,2024-01-14,2024-01-15,2024-01-14,2024-01-26,,,5,80061,0,,0,
ord_000000014,1345,prd_1944,Credit card,FAST Delivery,website,Processing,2024-03-04,2024-03-05,2024-03-11,2024-03-07,,2024-03-07,1,96899.9,0,,1,CUPN8956
ord_000000014,1345,prd_1944,Credit card,FAST Delivery,website,Processing,2024-03-04,2024-03-05,2024-03-11,2024-03-07,,2024-03-07,1,96899.9,0,,1,CUPN8956
ord_000000015,1484,prd_7697,CREDIT CARD,Normal,website,Delivered,2024-04-09,2024-04-13,2024-04-16,,,,5,42306.5185,1,Best Wishes!,0,
ord_000000016,1038,prd_1100,CREDIT CARD,One-Day Delivery,retail,Delivered,2024-05-29,2024-06-05,2024-06-06,,,,10,5697.3892,0,,0,
ord_000000017,1279,prd_7501,Credit card,One-Day Delivery,mobile app,Cancelled,2024-05-28,2024-05-28,2024-06-06,2024-05-30,,,5,65740.7427,1,Enjoy!,0,
ord_000000018,1194,prd_9373, Debit Card ,One-Day Delivery,website,Returned,2024-01-19,2024-01-19,2024-01-26,2024-01-22,,,8,53768.0641,1,Best Wishes!,1,CUPN2127
ord_000000019,1043,prd_4271, Cash ,FAST Delivery,mobile app,,2024-01-03,2024-01-07,2024-01-13,2024-01-06,,,9,26454,0,,1,CUPN5616
ord_000000020,1237,prd_1410,upi,One-Day Delivery,mobile app,Processing,2024-03-05,2024-03-05,2024-03-06,2024-03-18,,,3,4418.24,0,,1,CUPN3647
ord_000000021,1109,prd_5496,CREDIT CARD,Express,retail,Cancelled,2024-05-19,,2024-05-19,2024-05-30,,,1,42984,1,Enjoy!,0,
ord_000000022,1115,prd_7656,Cash!,FAST Delivery,mobile app,Processing,2024-06-07,2024-06-09,2024-06-10,2024-06-12,,,6,88143,0,,1,CUPN7745
ord_000000023,1435,prd_9477,Credit card,Normal,website,Cancelled,2024-02-21,2024-02-28,2024-02-26,2024-03-01,,,7,22300.1,1,Enjoy!,1,CUPN2137
ord_000000024,1234,prd_1010,Credit card,Normal,retail,Delivered,2024-03-07,2024-03-09,2024-03-16,2024-03-15,,,10,10849.171,1,Enjoy!,1,CUPN9379
ord_000000025,1136,prd_7727,upi,Express,retail,Processing,2024-01-01,2024-01-04,2024-01-06,2024-01-14,,,9,94887.96,1,Happy Birthday!,1,CUPN9308
ord_000000026,1485,prd_0439, PayPal ,Normal,retail,Processing,2024-06-19,2024-06-25,2024-06-29,2024-06-24,,,7,40613,1,Enjoy!,0,
ord_000000027,1237,prd_6421, Cash ,Express,website,Cancelled,2024-05-10,2024-05-17,2024-05-12,2024-05-12,,,1,51550.0465,1,Happy Birthday!,0,
ord_000000028,1043,prd_3561, Debit Card ,Express,retail,Cancelled,2024-05-01,2024-05-02,2024-05-08,2024-05-14,,2024-05-13,4,49442.8,0,,0,
   ord_000000029,1339,prd_0553, Cash ,One-Day Delivery,mobile app,Cancelled,2024-02-01,2024-02-08,2024-02-03,2024-02-15,,,5,95004.46,1, ,0,
ord_000000030,1185,prd_5988, PayPal ,One-Day Delivery,mobile app,Cancelled,2024-03-11,,2024-03-18,2024-03-13,,,5,23457.01,1,Happy Birthday!,0,
ord_000000031,1218,prd_3692,upi,Normal,website,       Processing,2024-03-25,2024-04-01,2024-03-31,2024-03-26,,2024-04-07,8,38953.7865,0,,1,CUPN8814
ord_000000032,1060,prd_1588,Credit card,Normal,website,Cancelled,2024-03-10,2024-03-16,2024-03-17,2024-03-10,,,8,33619.593,0,,1,CUPN3091
ord_000000033,1061,prd_2444,CREDIT CARD,FAST Delivery,mobile app,Processing,2024-02-04,2024-02-11,2024-02-06,2024-02-05,,,4,37916.6,1,Enjoy!,1,CUPN7211
ord_000000034,1286,prd_9390, Cash ,Normal,mobile app,Shipped,2024-01-14,2024-01-19,2024-01-17,2024-01-16,,,4,75425.8,0,,0,
ord_000000035,1464,prd_2525, Cash ,One-Day Delivery,mobile app,Cancelled,2024-04-29,2024-05-03,,2024-05-10,,,4,60593,0,,1,CUPN2771
ord_000000036,1211,prd_6730,Credit card,One-Day Delivery,mobile app,Cancelled,2024-01-20,2024-01-23,2024-01-21,2024-01-29,,,2,79624.7594,0,,1,CUPN9728
ord_000000037,1076,prd_2713,Net banking,Express,website,Processing,2024-01-28,2024-02-03,2024-02-02,2024-02-11,,,7,43554.3596,1, ,1,CUPN8136
